year,team,conference
2014,Georgia,SEC
2014,Michigan St,Big Ten
2014,Baylor,Big 12
2014,Miss St,SEC
2014,Ohio St,Big Ten
2014,TCU,Big 12
2014,Alabama,SEC
2014,Wisconsin,Big Ten
2014,Kansas St,Big 12
2014,Arkansas,SEC
2014,Minnesota,Big Ten
2014,Oklahoma,Big 12
2014,Mississippi,SEC
2014,Nebraska,Big Ten
2014,Texas,Big 12
2014,Missouri,SEC
2014,Iowa,Big Ten
2014,West Virginia,Big 12
2014,LSU,SEC
2014,Northwestern,Big Ten
2014,Oklahoma St,Big 12
2014,Auburn,SEC
2014,Maryland,Big Ten
2014,Kansas,Big 12
2014,Florida,SEC
2014,Michigan,Big Ten
2014,Texas Tech,Big 12
2014,Tennessee,SEC
2014,Penn St,Big Ten
2014,Iowa St,Big 12
2014,S Carolina,SEC
2014,Illinois,Big Ten
2014,Texas A&M,SEC
2014,Indiana,Big Ten
2014,Kentucky,SEC
2014,Rutgers,Big Ten
2014,Vanderbilt,SEC
2014,Purdue,Big Ten
2014,Oregon,Pac-12
2014,Georgia Tech,ACC
2014,Memphis,AAC
2014,UCLA,Pac-12
2014,Florida St,ACC
2014,Cincinnati,AAC
2014,Arizona,Pac-12
2014,Louisville,ACC
2014,UCF,AAC
2014,Arizona St,Pac-12
2014,"Miami, Fl",ACC
2014,E Carolina,AAC
2014,Stanford,Pac-12
2014,Virginia,ACC
2014,Houston,AAC
2014,USC,Pac-12
2014,Clemson,ACC
2014,Temple,AAC
2014,Washington,Pac-12
2014,N Carolina,ACC
2014,USF,AAC
2014,Utah,Pac-12
2014,Boston College,ACC
2014,Tulane,AAC
2014,California,Pac-12
2014,Pittsburgh,ACC
2014,Tulsa,AAC
2014,Wash St,Pac-12
2014,Duke,ACC
2014,Connecticut,AAC
2014,Oregon St,Pac-12
2014,Virginia Tech,ACC
2014,SMU,AAC
2014,Colorado,Pac-12
2014,N Carolina St,ACC
2014,Syracuse,ACC
2014,Wake Forest,ACC
2014,Boise St,Mountain West
2014,Marshall,C-USA
2014,W Michigan,MAC
2014,Colorado St,Mountain West
2014,La Tech,C-USA
2014,Toledo,MAC
2014,Utah St,Mountain West
2014,Rice,C-USA
2014,N Illinois,MAC
2014,San Diego St,Mountain West
2014,UAB,C-USA
2014,Bowling Green,MAC
2014,Fresno St,Mountain West
2014,WKU,C-USA
2014,C Michigan,MAC
2014,Air Force,Mountain West
2014,UTEP,C-USA
2014,Ohio,MAC
2014,Nevada,Mountain West
2014,FIU,C-USA
2014,Akron,MAC
2014,Hawaii,Mountain West
2014,North Texas,C-USA
2014,Ball St,MAC
2014,Wyoming,Mountain West
2014,Middle Tenn,C-USA
2014,Kent St,MAC
2014,New Mexico,Mountain West
2014,Old Dominion,C-USA
2014,UMass,MAC
2014,San Jose St,Mountain West
2014,FAU,C-USA
2014,Buffalo,MAC
2014,UNLV,Mountain West
2014,UTSA,C-USA
2014,"Miami, OH",MAC
2014,S Miss,C-USA
2014,E Michigan,MAC
2014,Louisiana,Sun Belt
2014,Notre Dame,Independent
2014,Appalachian St,Sun Belt
2014,BYU,Independent
2014,Texas St,Sun Belt
2014,Navy,Independent
2014,Arkansas St,Sun Belt
2014,Army,Independent
2014,Georgia Southern,Sun Belt
2014,S Alabama,Sun Belt
2014,ULM,Sun Belt
2014,Troy,Sun Belt
2014,Idaho,Sun Belt
2014,N Mexico St,Sun Belt
2014,Georgia St,Sun Belt
2015,Alabama,SEC
2015,Ohio St,Big Ten
2015,Oklahoma,Big 12
2015,Mississippi,SEC
2015,Michigan St,Big Ten
2015,TCU,Big 12
2015,Arkansas,SEC
2015,Iowa,Big Ten
2015,Baylor,Big 12
2015,Tennessee,SEC
2015,Michigan,Big Ten
2015,Oklahoma St,Big 12
2015,LSU,SEC
2015,Wisconsin,Big Ten
2015,West Virginia,Big 12
2015,Miss St,SEC
2015,Northwestern,Big Ten
2015,Texas Tech,Big 12
2015,Georgia,SEC
2015,Minnesota,Big Ten
2015,Texas,Big 12
2015,Florida,SEC
