date,home_team,away_team,home_score,away_score
2025-08-23,Kansas State,Iowa State,21,24
2025-08-23,UNLV,Idaho State,38,31
2025-08-23,Kansas,Fresno State,31,7
2025-08-23,Western Kentucky,Sam Houston,41,24
2025-08-23,Hawai'i,Stanford,23,20
2025-08-28,South Florida,Boise State,34,7
2025-08-28,Bowling Green,Lafayette,26,7
2025-08-28,Rutgers,Ohio,34,31
2025-08-28,Delaware,Delaware State,35,17
2025-08-28,UL Monroe,St. Francis (PA),29,0
2025-08-28,NC State,East Carolina,24,17
2025-08-28,UCF,Jacksonville State,17,10
2025-08-28,Akron,Wyoming,0,10
2025-08-28,Oklahoma State,UT Martin,27,7
2025-08-28,Missouri,Central Arkansas,61,6
2025-08-28,Duke,Elon,45,17
2025-08-29,Houston,Stephen F. Austin,27,0
2025-08-29,Minnesota,Buffalo,23,10
2025-08-29,UAB,Alabama State,52,42
2025-08-29,Wisconsin,Miami (OH),17,0
2025-08-29,Cincinnati,Nebraska,17,20
2025-08-29,San Diego State,Stony Brook,42,0
2025-08-29,Army,Tarleton State,27,30
2025-08-29,Charlotte,App State,11,34
2025-08-29,Wake Forest,Kennesaw State,10,9
2025-08-29,Florida International,Bethune-Cookman,42,9
2025-08-29,Michigan State,Western Michigan,23,6
2025-08-29,Illinois,Western Illinois,52,3
2025-08-29,Kansas,Wagner,46,7
2025-08-30,Colorado,Georgia Tech,20,27
2025-08-30,Baylor,Auburn,24,38
2025-08-30,Sam Houston,UNLV,21,38
2025-08-30,San José State,Central Michigan,14,16
2025-08-30,Tennessee,Syracuse,45,26
2025-08-30,Maryland,Florida Atlantic,39,7
2025-08-30,Ohio State,Texas,14,7
2025-08-30,Pittsburgh,Duquesne,61,9
2025-08-30,Purdue,Ball State,31,0
2025-08-30,Southern Miss,Mississippi State,17,34
2025-08-30,Navy,VMI,52,7
2025-08-30,Kent State,Merrimack,21,17
2025-08-30,Tulane,Northwestern,23,3
2025-08-30,Kentucky,Toledo,24,16
2025-08-30,Boston College,Fordham,66,10
2025-08-30,UConn,Central Connecticut,59,13
2025-08-30,West Virginia,Robert Morris,45,3
2025-08-30,Indiana,Old Dominion,27,14
2025-08-30,Louisville,Eastern Kentucky,51,17
2025-08-30,Georgia,Marshall,45,7
2025-08-30,Florida State,Alabama,31,17
2025-08-30,Air Force,Bucknell,49,13
2025-08-30,Northern Illinois,Holy Cross,19,17
2025-08-30,Penn State,Nevada,46,11
2025-08-30,Massachusetts,Temple,10,42
2025-08-30,Iowa State,South Dakota,55,7
2025-08-30,Liberty,Maine,28,7
2025-08-30,Oregon,Montana State,59,13
2025-08-30,Arkansas,Alabama A&M,52,7
2025-08-30,Memphis,Chattanooga,45,10
2025-08-30,James Madison,Weber State,45,10
2025-08-30,Iowa,UAlbany,34,7
2025-08-30,Virginia,Coastal Carolina,48,7
2025-08-30,Oklahoma,Illinois State,35,3
2025-08-30,Texas A&M,UTSA,42,24
2025-08-30,Middle Tennessee,Austin Peay,14,34
2025-08-30,Arkansas State,Southeast Missouri State,42,24
2025-08-30,South Alabama,Morgan State,38,21
2025-08-30,Kansas State,North Dakota,38,35
2025-08-30,Western Kentucky,North Alabama,55,6
2025-08-30,Troy,Nicholls,38,20
2025-08-30,Florida,Long Island University,55,0
2025-08-30,Vanderbilt,Charleston Southern,45,3
2025-08-30,Utah State,UTEP,28,16
2025-08-30,Texas Tech,Arkansas-Pine Bluff,67,7
2025-08-30,Michigan,New Mexico,34,17
2025-08-30,USC,Missouri State,73,13
2025-08-30,Louisiana Tech,SE Louisiana,24,0
2025-08-30,Clemson,LSU,10,17
2025-08-30,Ole Miss,Georgia State,63,7
2025-08-31,Texas State,Eastern Michigan,52,27
2025-08-31,BYU,Portland State,69,0
2025-08-31,North Texas,Lamar,51,0
2025-08-31,Louisiana,Rice,12,14
2025-08-31,Tulsa,Abilene Christian,35,7
2025-08-31,New Mexico State,Bryant,19,3
2025-08-31,SMU,East Texas A&M,42,13
2025-08-31,Fresno State,Georgia Southern,42,14
2025-08-31,Arizona State,Northern Arizona,38,19
2025-08-31,Washington State,Idaho,13,10
2025-08-31,Oregon State,California,15,34
2025-08-31,Arizona,Hawai'i,40,6
2025-08-31,Washington,Colorado State,38,21
2025-08-31,UCLA,Utah,10,43
2025-08-31,South Carolina,Virginia Tech,24,11
2025-08-31,Miami,Notre Dame,27,24
2025-09-02,North Carolina,TCU,14,48
2025-09-05,Louisville,James Madison,28,14
2025-09-05,Maryland,Northern Illinois,20,9
2025-09-05,Northwestern,Western Illinois,42,7
2025-09-06,Boise State,Eastern Washington,51,14
2025-09-06,SMU,Baylor,45,48
2025-09-06,Penn State,Florida International,34,0
2025-09-06,Jacksonville State,Liberty,34,24
2025-09-06,Florida State,East Texas A&M,77,3
2025-09-06,Duke,Illinois,19,45
2025-09-06,Indiana,Kennesaw State,56,9
2025-09-06,Iowa State,Iowa,16,13
2025-09-06,Pittsburgh,Central Michigan,45,17
2025-09-06,Syracuse,UConn,27,20
2025-09-06,Texas,San José State,38,7
2025-09-06,Minnesota,Northwestern State,66,0
2025-09-06,NC State,Virginia,35,31
2025-09-06,Texas Tech,Kent State,62,14
2025-09-06,Texas A&M,Utah State,44,22
2025-09-06,Wake Forest,Western Carolina,42,10
2025-09-06,Temple,Howard,55,7
2025-09-06,New Mexico,Idaho State,32,22
2025-09-06,Georgia,Austin Peay,28,6
2025-09-06,Colorado,Delaware,31,7
2025-09-06,Clemson,Troy,27,16
2025-09-06,Cincinnati,Bowling Green,34,20
2025-09-06,Rutgers,Miami (OH),45,17
2025-09-06,Kentucky,Ole Miss,23,30
2025-09-06,Western Michigan,North Texas,30,33
2025-09-06,Missouri,Kansas,42,31
2025-09-06,Massachusetts,Bryant,26,27
2025-09-06,Navy,UAB,38,24
2025-09-06,Oregon,Oklahoma State,69,3
2025-09-06,App State,Lindenwood,20,13
2025-09-06,Buffalo,St. Francis (PA),45,6
2025-09-06,UTSA,Texas State,36,43
2025-09-06,Georgia Tech,Gardner-Webb,59,12
2025-09-06,Oregon State,Fresno State,27,36
2025-09-06,Ohio State,Grambling,70,0
2025-09-06,Tennessee,East Tennessee State,72,17
2025-09-06,Wyoming,Northern Iowa,31,7
2025-09-06,Ohio,West Virginia,17,10
2025-09-06,Wisconsin,Middle Tennessee,42,10
2025-09-06,Florida,South Florida,16,18
2025-09-06,Southern Miss,Jackson State,38,20
2025-09-06,Nevada,Sacramento State,20,17
2025-09-06,Arkansas,Arkansas State,56,14
2025-09-06,East Carolina,Campbell,56,3
2025-09-06,Utah,Cal Poly,63,9
2025-09-06,California,Texas Southern,35,3
2025-09-06,Marshall,Missouri State,20,21
2025-09-06,Florida Atlantic,Florida A&M,56,14
2025-09-06,Old Dominion,North Carolina Central,54,6
2025-09-06,South Alabama,Tulane,31,33
2025-09-06,Kansas State,Army,21,24
2025-09-06,Miami,Bethune-Cookman,45,3
2025-09-06,UCF,North Carolina A&T,68,7
2025-09-06,Toledo,Western Kentucky,45,21
2025-09-06,Charlotte,North Carolina,3,20
2025-09-06,Colorado State,Northern Colorado,21,17
2025-09-06,South Carolina,South Carolina State,38,10
2025-09-06,Rice,Houston,9,35
2025-09-06,Georgia State,Memphis,16,38
2025-09-06,Eastern Michigan,Long Island University,23,28
2025-09-06,Virginia Tech,Vanderbilt,20,44
2025-09-06,USC,Georgia Southern,59,20
2025-09-06,Coastal Carolina,Charleston Southern,13,0
2025-09-06,Mississippi State,Arizona State,24,20
2025-09-06,Michigan State,Boston College,42,40
2025-09-06,Purdue,Southern Illinois,34,17
2025-09-06,Nebraska,Akron,68,0
2025-09-06,Oklahoma,Michigan,24,13
2025-09-06,LSU,Louisiana Tech,23,7
2025-09-06,Auburn,Ball State,42,3
2025-09-06,Alabama,UL Monroe,73,0
2025-09-07,UNLV,UCLA,30,23
2025-09-07,Louisiana,McNeese,34,10
2025-09-07,UTEP,UT Martin,42,17
2025-09-07,New Mexico State,Tulsa,21,14
2025-09-07,Arizona,Weber State,48,3
2025-09-07,BYU,Stanford,27,3
2025-09-07,Washington State,San Diego State,36,13
2025-09-07,Washington,UC Davis,70,10
2025-09-07,Hawai'i,Sam Houston,37,20
2025-09-11,Wake Forest,NC State,24,34
2025-09-12,Indiana,Indiana State,73,0
2025-09-12,Syracuse,Colgate,66,24
2025-09-12,Houston,Colorado,36,20
2025-09-13,Arizona,Kansas State,23,17
2025-09-13,UCLA,New Mexico,10,35
2025-09-13,Virginia,William & Mary,55,16
2025-09-13,Baylor,Samford,42,7
2025-09-13,Georgia Tech,Clemson,24,21
2025-09-13,Maryland,Towson,44,17
2025-09-13,Northwestern,Oregon,14,34
2025-09-13,Kent State,Buffalo,28,31
2025-09-13,Michigan,Central Michigan,63,3
2025-09-13,Troy,Memphis,7,28
2025-09-13,Nebraska,Houston Christian,59,7
2025-09-13,Temple,Oklahoma,3,42
2025-09-13,Alabama,Wisconsin,38,14
2025-09-13,Auburn,South Alabama,31,15
2025-09-13,Missouri,Louisiana,52,10
2025-09-13,Ball State,New Hampshire,34,29
2025-09-13,Delaware,UConn,44,41
2025-09-13,Purdue,USC,17,33
2025-09-13,Tennessee,Georgia,41,44
2025-09-13,North Carolina,Richmond,41,6
2025-09-13,Penn State,Villanova,52,6
2025-09-13,Texas Tech,Oregon State,45,14
2025-09-13,Rutgers,Norfolk State,60,10
2025-09-13,North Texas,Washington State,59,10
2025-09-13,Toledo,Morgan State,60,0
2025-09-13,Missouri State,SMU,10,28
2025-09-13,UTSA,Incarnate Word,48,20
2025-09-13,West Virginia,Pittsburgh,31,24
2025-09-13,Michigan State,Youngstown State,41,24
2025-09-13,Cincinnati,Northwestern State,70,0
2025-09-13,Arkansas State,Iowa State,16,24
2025-09-13,Texas,UTEP,27,10
2025-09-13,Miami,South Florida,49,12
2025-09-13,Nevada,Middle Tennessee,13,14
2025-09-13,Bowling Green,Liberty,23,13
2025-09-13,Kennesaw State,Merrimack,27,13
2025-09-13,Mississippi State,Alcorn State,63,0
2025-09-13,Marshall,Eastern Kentucky,38,7
2025-09-13,Florida International,Florida Atlantic,38,28
2025-09-13,Charlotte,Monmouth,42,35
2025-09-13,Ole Miss,Arkansas,41,35
2025-09-13,Georgia Southern,Jacksonville State,41,34
2025-09-13,Virginia Tech,Old Dominion,26,45
2025-09-13,Illinois,Western Michigan,38,0
2025-09-13,Ohio State,Ohio,37,9
2025-09-13,Georgia State,Murray State,37,21
2025-09-13,Southern Miss,App State,38,22
2025-09-13,Rice,Prairie View A&M,38,17
2025-09-13,Notre Dame,Texas A&M,40,41
2025-09-13,Kentucky,Eastern Michigan,48,23
2025-09-13,Coastal Carolina,East Carolina,0,38
2025-09-13,Louisiana Tech,New Mexico State,49,14
2025-09-13,LSU,Florida,20,10
2025-09-13,Iowa,Massachusetts,47,7
2025-09-13,South Carolina,Vanderbilt,7,31
2025-09-14,Wyoming,Utah,6,31
2025-09-14,TCU,Abilene Christian,42,21
2025-09-14,Tulane,Duke,34,27
2025-09-14,Tulsa,Navy,23,42
2025-09-14,UAB,Akron,31,28
2025-09-14,Utah State,Air Force,49,30
2025-09-14,Fresno State,Southern,56,7
2025-09-14,Arizona State,Texas State,34,15
2025-09-14,California,Minnesota,27,14
2025-09-14,Stanford,Boston College,30,20
2025-09-14,Hawai'i,Portland State,23,3
2025-09-18,Charlotte,Rice,17,28
2025-09-19,Oklahoma State,Tulsa,12,19
2025-09-20,Rutgers,Iowa,28,38
2025-09-20,TCU,SMU,35,24
2025-09-20,Virginia Tech,Wofford,38,6
2025-09-20,Utah,Texas Tech,10,34
2025-09-20,Clemson,Syracuse,21,34
2025-09-20,Wisconsin,Maryland,10,27
2025-09-20,Army,North Texas,38,45
2025-09-20,Miami (OH),UNLV,38,41
2025-09-20,Memphis,Arkansas,32,31
2025-09-20,South Florida,South Carolina State,63,14
2025-09-20,Louisville,Bowling Green,40,17
2025-09-20,Tennessee,UAB,56,24
2025-09-20,Central Michigan,Wagner,49,10
2025-09-20,Oregon,Oregon State,41,7
2025-09-20,Buffalo,Troy,17,21
2025-09-20,Ohio,Gardner-Webb,52,35
2025-09-20,Ole Miss,Tulane,45,10
2025-09-20,Oklahoma,Auburn,24,17
2025-09-20,UConn,Ball State,31,25
2025-09-20,Liberty,James Madison,13,31
2025-09-20,Notre Dame,Purdue,56,30
2025-09-20,UCF,North Carolina,34,9
2025-09-20,Nebraska,Michigan,27,30
2025-09-20,Western Michigan,Toledo,14,13
2025-09-20,Florida State,Kent State,66,10
2025-09-20,Eastern Michigan,Louisiana,34,31
2025-09-20,Duke,NC State,45,33
2025-09-20,Mississippi State,Northern Illinois,38,10
2025-09-20,Georgia Tech,Temple,45,24
2025-09-20,San José State,Idaho,31,28
2025-09-20,Kansas,West Virginia,41,10
2025-09-20,Kennesaw State,Arkansas State,28,21
2025-09-20,Akron,Duquesne,51,7
2025-09-20,Florida International,Delaware,16,38
2025-09-20,Middle Tennessee,Marshall,28,42
2025-09-20,South Alabama,Coastal Carolina,20,38
2025-09-20,Air Force,Boise State,37,49
2025-09-20,Georgia Southern,Maine,45,17
2025-09-20,Missouri,South Carolina,29,20
2025-09-20,Missouri State,UT Martin,42,10
2025-09-20,Jacksonville State,Murray State,45,10
2025-09-20,Western Kentucky,Nevada,31,16
2025-09-20,East Carolina,BYU,13,34
2025-09-20,Virginia,Stanford,48,20
2025-09-20,Washington State,Washington,24,59
2025-09-20,Louisiana Tech,Southern Miss,30,20
2025-09-20,Vanderbilt,Georgia State,70,21
2025-09-20,Baylor,Arizona State,24,27
2025-09-20,Miami,Florida,26,7
2025-09-20,Indiana,Illinois,63,10
2025-09-20,LSU,SE Louisiana,56,10
2025-09-21,Utah State,McNeese,48,7
2025-09-21,Texas State,Nicholls,35,3
2025-09-21,Texas,Sam Houston,55,0
2025-09-21,UTEP,UL Monroe,25,31
2025-09-21,Colorado State,UTSA,16,17
2025-09-21,Colorado,Wyoming,37,20
2025-09-21,San Diego State,California,34,0
2025-09-21,USC,Michigan State,45,31
2025-09-21,Hawai'i,Fresno State,21,23
2025-09-25,East Carolina,Army,28,6
2025-09-26,Virginia,Florida State,46,38
2025-09-27,Arizona State,TCU,27,24
2025-09-27,Oregon State,Houston,24,27
2025-09-27,North Texas,South Alabama,36,22
2025-09-27,Kansas,Cincinnati,34,37
2025-09-27,Arkansas,Notre Dame,13,56
2025-09-27,Syracuse,Duke,3,38
2025-09-27,Ohio,Bowling Green,35,20
2025-09-27,Pittsburgh,Louisville,27,34
2025-09-27,Wake Forest,Georgia Tech,29,30
2025-09-27,Kansas State,UCF,34,20
2025-09-27,Minnesota,Rutgers,31,28
2025-09-27,Illinois,USC,34,32
2025-09-27,Vanderbilt,Utah State,55,35
2025-09-27,Central Michigan,Eastern Michigan,24,13
2025-09-27,James Madison,Georgia Southern,35,10
2025-09-27,UL Monroe,Arkansas State,28,16
2025-09-27,Navy,Rice,21,13
2025-09-27,Northern Illinois,San Diego State,3,6
2025-09-27,Oklahoma State,Baylor,27,45
2025-09-27,Miami (OH),Lindenwood,38,0
2025-09-27,Toledo,Akron,45,3
2025-09-27,Buffalo,UConn,17,20
2025-09-27,Washington,Ohio State,6,24
2025-09-27,Iowa,Indiana,15,20
2025-09-27,West Virginia,Utah,14,48
2025-09-27,Boston College,California,24,28
2025-09-27,Ole Miss,LSU,24,19
2025-09-27,Northwestern,UCLA,17,14
