team,preseason_rank,start_rating,current_rating
Clemson,1,147,148
Alabama,2,139,139
LSU,4,130,154
Oklahoma,4,130,127
Ohio St,7,129,150
Georgia,7,129,135
Florida,7,129,133
Iowa,9,128,129
Miss St,9,128,112
Texas A&M,12,126,121
Texas,12,126,129
Notre Dame,12,126,132
Auburn,15,125,127
Minnesota,15,125,126
Syracuse,15,125,109
Michigan,18,122,129
Missouri,18,122,114
Oregon,18,122,133
Penn St,23,121,129
Nebraska,23,121,115
Baylor,23,121,128
Washington,23,121,126
Oklahoma St,23,121,119
UCF,25,120,120
Wash St,25,120,113
Wisconsin,31,119,133
Michigan St,31,119,111
Northwestern,31,119,110
Utah,31,119,124
Cincinnati,31,119,120
UCLA,31,119,107
Virginia,38,118,119
Indiana,38,118,118
"Miami, Fl",38,118,108
Iowa St,38,118,117
TCU,38,118,117
Stanford,38,118,106
BYU,38,118,107
Virginia Tech,42,117,123
Duke,42,117,109
Kansas St,42,117,119
Appalachian St,42,117,121
Wake Forest,47,116,109
S Carolina,47,116,113
Arizona,47,116,103
Utah St,47,116,101
Fresno St,47,116,100
Kentucky,55,115,124
Florida St,55,115,111
Pittsburgh,55,115,109
Memphis,55,115,121
USC,55,115,118
Arizona St,55,115,113
Ohio,55,115,110
Boise St,55,115,116
Purdue,59,114,110
N Carolina St,59,114,99
West Virginia,59,114,115
Army,59,114,101
Vanderbilt,61,113,95
California,61,113,115
N Carolina,65,112,124
Tennessee,65,112,118
Georgia Tech,65,112,101
Texas Tech,65,112,112
UAB,66,111,102
Boston College,69,110,109
Temple,69,110,108
S Miss,69,110,101
SMU,71,109,112
FIU,71,109,99
Mississippi,75,108,117
"Miami, OH",75,108,103
Air Force,75,108,117
Arkansas St,75,108,102
Tulane,78,107,111
Houston,78,107,107
Marshall,78,107,103
Maryland,82,106,99
Toledo,82,106,91
Wyoming,82,106,110
Troy,82,106,101
Arkansas,88,105,96
Rutgers,88,105,97
Navy,88,105,121
Tulsa,88,105,111
Kansas,88,105,102
Georgia Southern,88,105,104
Illinois,90,104,108
Nevada,90,104,99
Colorado,92,103,111
N Illinois,92,103,99
Oregon St,96,102,113
La Tech,96,102,110
Middle Tenn,96,102,99
E Michigan,96,102,98
USF,99,101,98
WKU,99,101,109
Charlotte,99,101,100
FAU,103,100,121
W Michigan,103,100,104
Louisiana,103,100,115
San Diego St,103,100,111
Buffalo,105,99,110
Hawaii,105,99,107
UNLV,106,98,98
Kent St,108,97,105
ULM,108,97,101
Liberty,109,96,104
Louisville,114,94,115
E Carolina,114,94,95
Ball St,114,94,103
San Jose St,114,94,98
Texas St,114,94,91
Rice,116,93,95
Colorado St,116,93,107
North Texas,118,92,94
Georgia St,118,92,94
Old Dominion,119,91,85
Bowling Green,120,90,75
N Mexico St,124,89,85
UTSA,124,89,91
Coastal Carolina,124,89,95
New Mexico,124,89,88
Akron,125,88,68
S Alabama,126,87,94
UTEP,127,86,81
UMass,129,84,65
C Michigan,129,84,98
Connecticut,130,81,83
