team,final_rank,season_points,preseason_rank
LSU,1,1221,4
Oregon,2,1179,18
Ohio St,3,1070,7
Oklahoma,4,958,4
Clemson,5,944,1
Utah,6,896,31
Penn St,7,828,23
Iowa,8,786,9
USC,9,742,55
Georgia,11,736,7
Notre Dame,11,736,12
Alabama,12,699,2
Baylor,13,677,23
Washington,15,644,23
Wisconsin,15,644,31
Florida,16,607,7
Michigan,17,599,18
Auburn,18,568,15
Minnesota,19,509,15
Memphis,20,493,55
Arizona St,21,471,55
Texas,22,427,12
Oklahoma St,23,411,23
Cincinnati,24,408,31
California,25,383,61
Navy,26,352,88
Kansas St,27,315,42
Texas A&M,28,290,12
Iowa St,29,285,38
Virginia Tech,30,250,42
Michigan St,31,230,31
Colorado,32,222,92
Virginia,33,220,38
Indiana,34,203,38
SMU,35,197,71
Oregon St,36,173,96
Kentucky,37,162,55
Tennessee,38,149,65
Washington St,39,128,25
UCLA,40,107,31
North Carolina,41,85,65
Louisville,42,79,114
Air Force,43,77,75
UCF,44,56,25
West Virginia,45,55,59
Arizona,46,54,47
TCU,47,48,38
Wake Forest,48,41,47
Stanford,49,20,38
Pittsburgh,50,10,55
Nebraska,51,2,23
Purdue,52,-11,59
Boise St,53,-22,55
Mississippi St,55,-28,9
Florida St,55,-28,55
Illinois,56,-43,90
South Carolina,57,-75,47
Temple,58,-78,69
Tulane,59,-88,78
Boston College,60,-118,69
Syracuse,61,-121,15
Tulsa,62,-149,88
Texas Tech,63,-152,65
Kansas,64,-156,88
Duke,65,-160,42
Houston,66,-167,78
Northwestern,67,-178,31
Mississippi,68,-183,75
Appalachian St,69,-218,42
Maryland,70,-224,82
Missouri,71,-237,18
Georgia Tech,72,-288,65
USF,73,-301,99
Rutgers,74,-304,88
BYU,75,-332,38
Vanderbilt,76,-338,61
Hawaii,77,-388,105
"Miami, Fl",78,-389,38
Wyoming,79,-410,82
San Diego St,80,-413,103
Utah St,81,-419,47
FAU,82,-437,103
Louisiana,83,-474,103
NC State,84,-475,59
Marshall,85,-533,78
East Carolina,86,-569,114
Liberty,87,-573,109
Arkansas St,88,-657,75
WKU,89,-700,99
Nevada,90,-722,90
Louisiana Tech,91,-737,96
Arkansas,92,-739,88
Connecticut,93,-773,130
ULM,94,-775,108
Colorado St,95,-811,116
Army,96,-818,59
San Jose St,97,-823,114
Georgia Southern,99,-824,88
Western Michigan,99,-824,103
Southern Miss,100,-825,69
UNLV,101,-868,106
Georgia St,102,-876,118
Fresno St,103,-909,47
Miami (OH),104,-915,75
Buffalo,105,-937,105
Texas St,106,-942,114
Troy,107,-946,82
Kent St,108,-969,108
Central Michigan,109,-1019,129
Toledo,110,-1028,82
Middle Tenn,111,-1029,96
Coastal Carolina,112,-1035,124
New Mexico St,113,-1061,124
Ohio,116,-1062,55
Eastern Michigan,116,-1062,96
Charlotte,116,-1062,99
New Mexico,117,-1075,124
UAB,118,-1107,66
North Texas,119,-1119,118
Ball St,120,-1120,114
Northern Illinois,121,-1148,92
South Alabama,122,-1169,126
FIU,123,-1175,71
Rice,124,-1177,116
UTSA,125,-1179,124
Bowling Green,126,-1216,120
Old Dominion,127,-1671,119
UMass,128,-1696,129
UTEP,129,-1734,127
Akron,130,-1906,125
