rank,team,total_points
1,Alabama,12782
2,Ohio St,11172
3,Georgia,9647
4,Clemson,8856
5,Oklahoma,7889
6,Notre Dame,7118
7,Michigan,6973
8,LSU,6951
9,Oregon,6932
10,Texas,5550
11,USC,5489
12,Washington,5395
13,Utah,5353
14,Penn St,5317
15,Iowa,5203
16,Wisconsin,4966
17,TCU,4873
18,Texas A&M,4748
19,Mississippi,4745
20,Oklahoma St,4273
21,Kansas St,4047
22,Florida,3402
23,Auburn,3263
24,Tennessee,3014
25,Arizona St,2881
26,Michigan St,2787
27,Florida St,2757
28,West Virginia,2575
29,Baylor,2553
30,Iowa St,2497
31,"Miami, Fl",2458
32,Minnesota,2387
33,Stanford,2230
34,UCLA,2119
35,Texas Tech,1980
36,Mississippi St,1964
37,Louisville,1894
38,Kentucky,1774
39,Missouri,1563
40,Indiana,1554
41,Northwestern,1390
42,NC State,1207
43,Nebraska,1132
44,South Carolina,1098
45,Arkansas,1025
46,Pittsburgh,814
47,Arizona,804
48,BYU,727
49,Georgia Tech,497
50,North Carolina,364
51,Washington St,310
52,S Carolina,123
53,Miss St,118
54,N Carolina,110
55,Wash St,87
56,N Illinois,63
58,E Carolina,51
58,N Carolina St,51
59,C Michigan,45
60,S Alabama,36
62,W Michigan,20
62,La Tech,20
63,S Miss,14
64,"Miami, OH",9
65,E Michigan,4
66,N Mexico St,1
67,Illinois,-157
68,California,-206
69,Colorado,-213
70,Virginia Tech,-288
71,Virginia,-351
72,Maryland,-403
73,Duke,-676
74,Wake Forest,-696
75,Purdue,-883
76,Delaware,-1278
77,Vanderbilt,-1400
78,James Madison,-1406
79,Syracuse,-1437
80,Cincinnati,-1544
81,Boston College,-1586
82,Missouri St,-1851
83,Rutgers,-1920
84,Kansas,-2247
85,Oregon St,-2297
86,Memphis,-2346
87,Houston,-2392
88,Boise St,-2686
89,UCF,-2895
90,Kennesaw St,-2966
91,SMU,-3166
92,Jacksonville St,-3495
93,Sam Houston St,-4016
94,Navy,-4134
95,Liberty,-5203
96,Idaho,-5326
97,Tulane,-5390
98,USF,-5929
99,Air Force,-6173
100,Coastal Carolina,-6677
101,Appalachian St,-7058
102,San Diego St,-7070
103,Army,-7128
104,East Carolina,-7165
105,Temple,-7200
106,UAB,-7627
107,Fresno St,-7712
108,Utah St,-7856
109,Tulsa,-7927
110,Wyoming,-8395
111,Marshall,-8632
112,Troy,-8711
113,Louisiana,-9046
114,Colorado St,-9090
115,Toledo,-9101
116,Connecticut,-9307
117,WKU,-9436
118,Western Michigan,-9503
119,Georgia Southern,-9613
120,UNLV,-9806
121,UTSA,-9837
122,Nevada,-9894
123,Ohio,-9923
124,San Jose St,-9991
125,Hawaii,-10015
126,Arkansas St,-10134
127,Old Dominion,-10585
128,New Mexico,-10668
129,Miami (OH),-10906
130,FAU,-10995
131,South Alabama,-11082
132,Louisiana Tech,-11236
133,Northern Illinois,-11273
134,Southern Miss,-11389
135,Central Michigan,-11501
136,North Texas,-11584
137,Buffalo,-11713
138,Georgia St,-11726
139,Middle Tenn,-12037
140,Charlotte,-12052
141,Texas St,-12183
142,ULM,-12306
143,Rice,-12472
144,Bowling Green,-12581
145,New Mexico St,-12746
146,Eastern Michigan,-12969
147,Ball St,-13084
148,Kent St,-13283
149,UMass,-14202
150,FIU,-14243
151,Akron,-14353
152,UTEP,-15250
